ACM DBLP
29866 31754
13852 20420
40089 9642
16471 34301
23435 10175
35742 15348
23596 10286
25678 44686
27157 14294
17688 39550
23572 29568
13626 10549
12536 39127
41331 39025
141 13208
27861 43345
7570 14165
10586 5971
22973 18675
27710 48364
32769 18799
12072 46438
10790 33393
27637 24786
11054 3178
10296 1377
3326 494
37257 16537
21223 37297
27941 552
1871 42362
2067 44311
32313 20252
7200 17964
3891 17923
30099 26009
25534 25730
40678 22229
7659 27292
28820 46137
1560 17510
15889 16732
21936 17200
15914 13328
29883 47819
7801 9933
33350 6948
6784 28473
8652 4383
33031 4114
40900 49126
7336 14652
1106 43818
19192 18246
27937 22966
35707 10527
16788 51132
31496 15769
17070 28848
40157 21869
9983 18156
24461 48936
12263 4998
10447 11908
13077 4675
25379 15633
21663 5626
672 1579
2720 44497
30257 37423
5669 35051
10056 21063
16397 31544
2710 12437
23787 49294
40435 239
22317 45970
30144 27861
17655 46206
23384 43258
31493 36277
42096 23675
19887 20312
34976 26555
20933 28952
12888 30014
31888 8439
14375 16259
14267 12168
18541 14067
41376 48211
15011 3948
39187 51235
34660 45741
36881 41624
23696 15143
13790 50969
40125 42575
38594 36082
41232 24263
19142 29547
33920 9780
2301 13554
11991 39183
31212 41021
2758 5350
22076 30459
3102 19889
33796 7247
16161 6396
549 6773
5270 5019
4835 41795
19317 37963
42640 49119
32167 32733
26418 10256
21502 5275
30973 11870
32950 41710
5712 39623
31898 1251
24359 7111
6669 6616
10940 37055
11749 24876
22691 44068
18182 35491
8510 18724
12641 3787
34711 30803
2412 26525
6347 5234
618 1944
11877 12002
3076 504
13824 20655
24240 47567
1794 2670
35002 37905
30770 14691
40359 43793
7388 46
31094 40455
40489 43394
42321 18831
18998 11772
18482 22239
40379 38745
18121 41074
20521 25794
9828 4859
29489 28475
32330 13310
41781 5856
26732 13553
8915 30231
21847 25327
16344 47591
11540 411
18212 12588
4838 12993
14531 19109
28619 24269
18943 27783
22927 23553
2835 1347
5333 11222
15170 32813
7354 43315
21469 27304
16013 24517
40345 6176
5531 332
3383 21866
37236 29389
6426 10827
9192 44518
37708 50684
2601 37961
21833 3639
27498 42633
5804 22333
37658 18570
38493 13471
40723 24006
36698 12710
4149 12352
29284 33521
28071 2117
27992 18555
4590 7723
31949 44711
18643 22654
30838 35440
19825 25350
7800 14335
2715 5365
31134 22695
24212 17804
38322 12958
12427 11194
8039 17384
42172 16541
27362 46492
4154 6953
8504 14403
25824 6060
12045 26980
1265 41546
18865 18917
11511 9386
4863 12842
36572 15740
4429 51482
30068 43109
39554 32141
2972 3983
11215 12658
3811 3029
26580 5086
13167 3959
24895 35321
21264 5060
63 11138
7562 16419
15475 10519
3331 25020
22656 10901
9978 39417
41132 50650
41127 33499
4833 33554
16969 10636
39197 42346
41726 23571
31178 50119
4988 40327
6085 15172
17870 6977
35889 22027
21867 31860
35801 46871
42566 17379
32244 25548
21850 5869
7019 24752
4669 2475
29648 7324
15072 14137
39575 29257
27356 44488
15517 25224
4271 50714
26293 27451
31791 19082
9110 28997
13799 31786
1415 11814
27668 17901
8925 5025
15085 21624
39129 9171
9542 18698
25799 13202
23761 26973
38763 39758
1646 12110
30703 4575
23932 14593
29153 19141
6011 30253
26077 46011
34785 7892
9490 40764
39174 20069
3046 19865
1930 2592
10614 22560
16396 31543
6855 24072
99 7617
26587 26832
1257 4592
15136 39789
21982 23620
274 2778
3816 23115
37273 51658
7243 24260
1206 1635
27612 48031
11834 16935
6261 3100
28745 15775
7908 12649
13300 31751
30814 45019
3028 871
16988 26613
33189 3160
19099 16530
8360 34901
33470 26000
28019 20648
16188 3282
5982 8403
37773 20900
13039 3851
15380 23488
38406 27852
561 3379
25774 22572
30984 33319
16878 17232
41432 41164
34666 23435
17883 4990
37428 2043
37649 24960
15621 27942
1376 13601
26843 29167
14865 13150
12467 41730
13669 1542
24901 30848
19772 8190
1547 38963
12171 29446
32953 32321
23580 15362
6499 35532
18333 7656
6870 19979
2217 50290
40658 29422
26517 9799
32242 25546
22810 27381
4390 31170
3068 49054
26468 45197
11674 43862
16696 8927
7237 59
34153 46780
24454 5904
23941 22898
14977 8285
21601 13860
18230 7262
23714 29626
19058 24718
41752 48516
10549 2346
24768 46938
22173 43998
32520 29352
17910 15642
5203 692
41771 31260
38593 48484
29632 37820
19485 19002
28288 36246
13864 37163
39446 26088
23421 18835
13891 38269
7475 51542
33855 48781
38136 13273
41754 45749
1102 4950
24840 40746
2336 30474
27818 43974
5605 18912
40138 31009
3948 2109
38973 3406
32587 16578
16709 13010
38556 51495
17322 13967
34630 4312
18130 1226
23490 47370
9468 28190
19038 35103
8628 3205
12242 14218
23052 5670
18225 34893
20911 25027
28146 26364
19282 31529
8229 3191
21203 37485
3359 36613
5593 22970
21584 6709
36371 40503
2159 2399
7177 3556
18834 32197
14840 30164
41453 38243
5281 33761
42719 676
2072 7701
19624 19574
31316 43816
13500 25694
5719 24462
36188 20755
14378 23360
17648 24939
6684 13122
5453 12912
4797 1824
42962 18174
30277 11534
15712 4464
13750 42858
39721 40443
816 39291
4018 8266
32094 9827
33197 34689
40050 45181
24281 32052
18848 40707
35610 16413
26318 27443
20818 7339
23230 14470
19365 11574
1588 38225
35433 33328
39259 48273
41455 18343
8006 41213
13316 2049
32339 35700
39593 29267
15864 34338
7227 2610
39679 29103
21667 30366
9225 11928
16688 9090
21186 36199
11602 25424
8122 18547
32942 8849
38071 34643
42583 49839
10678 29551
4482 28319
9798 41981
1841 28122
12773 51558
15710 952
25621 8856
159 14634
14336 12111
6138 11202
18637 23112
7056 24363
23720 33470
14250 36360
12638 17649
41304 4876
11034 5401
38091 6643
19973 25270
4883 14500
35011 20066
13601 2606
11188 19722
25811 20057
36284 37738
41860 47673
35600 8793
1761 21391
14572 24447
26086 49706
33582 37183
7945 21355
1015 380
28970 25744
2120 1165
33274 10134
6600 48113
20199 27355
42760 47007
15264 211
34847 50761
5521 24561
16774 36195
14121 63
12262 20282
21787 29533
6240 15376
26817 21998
32879 46181
15576 39416
10528 50368
2090 4441
18296 6215
41662 46869
17174 29686
36235 15274
13898 24356
28228 8333
25888 2831
41698 20821
1939 2247
15655 47776
8506 14405
8499 32537
22634 10738
8422 9630
16457 4663
30886 10735
37474 34771
40226 46562
19330 18223
8441 37239
12366 2297
27999 48713
32680 31178
19664 49791
34846 50760
28204 33832
39474 18876
36396 41373
4661 17972
23538 42311
7836 4959
6605 822
38534 15699
25553 4418
4020 790
7403 25455
28266 14714
21214 36526
17205 48299
7402 45491
35641 47506
21429 14342
33803 48497
39201 14522
5672 15448
41019 27367
36382 26709
39739 4603
7677 26619
14842 30861
33612 51608
14275 22359
19331 12504
25768 42084
25046 35881
25422 42053
27085 39828
42538 19874
5289 30422
10137 23563
29761 41626
30126 32772
41643 50103
33 122
21249 2938
17935 36749
32076 35470
11045 11273
10893 48461
9344 2388
30545 12138
40646 24570
10921 28867
22254 43427
15433 29406
14021 19266
11169 14166
25313 36116
32463 15794
21182 25995
32439 42142
29396 3564
17075 17559
3630 50200
37945 10364
15020 35282
8576 40826
350 6614
41154 26040
20333 33376
15125 10309
36716 20390
28447 15358
1758 1967
4695 31141
34882 4008
15180 25659
39509 42624
3931 7359
4358 3729
19801 19668
5065 3304
37484 36487
42174 16543
8157 8950
38730 28220
15253 29501
24562 16157
27705 46676
18453 22005
31529 34333
37453 16627
33309 35598
17496 38782
20148 9189
37813 49050
29545 13171
34760 5355
6352 51168
25649 39593
32331 43227
41008 40640
12260 2512
21912 46414
30400 32779
16541 7461
36160 44619
9431 38683
24862 24171
24376 30751
6812 526
32669 49603
27039 49547
8461 3421
28895 23095
24351 6526
521 16643
20929 3400
3835 1115
20261 40211
17725 4912
1314 3863
40228 12686
738 41975
27369 18979
14276 25952
18763 417
42977 49957
21561 35807
1017 8737
32773 23214
4908 34449
6472 22227
17970 36704
1055 39369
17266 14989
8235 38831
39833 23897
20110 30417
3619 35354
1531 34518
33024 50258
20091 46368
5813 15971
3291 41061
38178 45988
11532 5387
14002 32443
11404 9295
28270 34206
871 8102
41384 25388
2419 2824
31483 34827
39413 48337
991 6637
2849 23936
24112 39314
13551 34718
34066 47900
25094 105
8252 51418
16900 50552
35614 37441
19573 12096
28202 33830
42885 45561
23749 38967
30937 27336
16104 20563
10564 2138
1911 4101
26045 16326
7792 29711
38719 20468
13549 25613
9335 1499
30887 18566
13937 37209
3662 19809
8665 32735
9259 5992
21984 18781
9009 12399
1978 48649
29088 22360
20625 51173
1579 21634
16348 22814
13339 31693
28906 21909
17410 35308
11081 12081
1233 2656
2235 4020
19102 27399
25361 7425
12768 5425
25216 33820
25073 35008
1240 20414
37298 44835
22891 46821
10853 12474
11200 7197
14173 6687
12903 29284
151 11136
10640 37082
10231 40090
1510 46056
9784 5778
16187 973
18986 47771
33468 19702
9138 7536
22035 49106
23245 49545
12167 19899
14962 2502
19112 29238
16874 30780
3282 12411
12567 26405
25314 36117
5885 10380
12986 38499
33406 831
29774 22969
9901 6663
17315 976
31414 28923
24970 20848
13450 12571
36274 36238
37533 4216
12477 275
28508 12761
26276 31304
31732 31958
33751 30840
12344 41214
17572 13611
39795 10267
29479 13388
11718 28514
25250 28761
17079 39175
9712 46921
25263 12256
29754 25459
21454 9232
21248 36014
33574 4976
7501 5460
25700 41532
20076 35152
39757 4481
18509 24719
28761 28168
15282 45344
15962 48468
661 47848
38722 46474
8638 43639
28156 31701
37341 48487
4215 43477
42021 21827
12111 32570
32705 50873
32920 21055
8892 28082
20542 47143
14767 13582
38018 43240
12211 41561
16133 431
577 39790
20844 21075
30862 36453
5449 12241
31466 25911
20339 29143
10837 19515
1024 1008
34834 12397
6182 4725
21020 32542
33011 43827
38407 30193
8992 31931
35935 600
37598 39255
10731 27754
13022 12553
42153 25315
2507 33944
38252 28214
27968 34373
20337 23783
28650 23235
22767 28566
7949 24083
24830 34950
8326 318
6312 901
38047 47709
26205 33138
38501 46656
6342 36750
31183 43166
1835 9719
5728 28322
9691 18975
26145 10945
38628 3069
170 23941
30801 25811
37940 18463
16976 32489
6412 20875
8257 15800
31381 43578
25183 9806
4977 2865
18566 39583
16361 48863
19089 26012
34816 31232
4624 15514
7350 5686
9498 47063
20899 5309
35534 25214
6392 22109
27207 914
40549 18838
39026 34412
37343 42868
15481 30494
3936 22788
19609 45216
38182 47955
17267 14990
20816 12883
24081 29461
34728 31113
12565 23551
1412 10723
10663 23776
14050 29288
18218 26815
23305 35839
17772 36826
40719 3272
38676 8246
21488 39930
20188 48206
13478 35361
17960 3683
33295 46633
9420 1920
39886 4434
40860 11636
8523 5069
341 42022
38684 41600
12160 13824
16186 30336
21430 14343
12762 13603
17626 22431
18634 16893
33849 31547
19732 4883
41590 33008
30431 38913
28701 37971
14719 2958
70 7120
22113 5099
24520 43370
21331 41109
8788 16350
31048 43076
5215 20036
27307 36465
19776 3968
38674 18968
38793 35893
41129 38370
14516 36423
17137 48244
22149 30632
40993 34613
27514 4514
21758 17718
39930 51140
36068 2684
8333 45011
18885 21750
26858 16991
20905 8527
40705 21271
42379 42038
7051 30577
10533 26018
34128 11422
5505 7334
32237 15712
33768 12767
11202 24901
24131 41672
9019 42034
31208 12095
24752 40103
41621 18658
31883 35838
21236 36023
14586 41476
29879 2697
6487 2715
7255 8919
14896 27484
32001 40525
23916 24079
5942 13762
15320 8880
27025 35998
15340 13384
25549 12420
2106 31586
27766 35688
9515 32262
32739 42652
28364 5111
20007 4295
39763 32583
40163 36380
10901 38530
2576 22254
11728 13799
38764 25787
27101 28542
35237 32466
33340 32314
681 32389
40347 43791
10370 9527
19576 49701
18596 21808
38588 16418
30864 36441
32536 34025
3507 22060
2662 16403
11871 46737
80 24099
42906 32195
34061 20518
20496 41875
33364 47327
22331 9616
29703 8421
19582 7189
28450 46640
33217 45470
15568 43893
29145 25140
9723 24481
11548 22493
13510 7426
24755 13637
32940 8847
10707 46127
4845 6667
41235 23695
34321 33825
31503 1622
19713 28645
33349 22376
17609 21021
16943 11297
28599 40773
13558 50819
10818 23302
13209 38568
25938 17623
4434 6717
32052 17799
11129 7160
2052 18983
16081 46756
38737 43712
3618 35353
16645 17105
23033 8708
8082 15714
33732 41884
41984 41069
5812 7019
25320 25832
38926 555
1699 13529
12671 14293
33891 3817
9575 5600
5893 8626
11813 25644
4971 20858
19387 8787
20048 37540
8486 7092
27005 23561
12947 28569
23048 13841
29609 28785
20617 48701
17150 11586
32306 47195
42699 10403
41133 44056
17042 1189
21951 27923
42048 50882
4994 1945
11915 8578
2375 31002
20955 49993
4451 13903
38387 7984
8752 25156
33637 26204
548 4854
13553 34719
15444 29004
2971 8220
22200 28428
30587 33680
38710 3934
28314 3685
6362 4150
34915 29800
27507 3437
39602 41256
15181 8
11275 15458
40320 25103
11762 15318
18295 34760
33869 39261
24591 16710
24238 16055
24428 17358
10063 20171
3329 42752
4173 15937
27715 26793
34109 30834
8111 46995
38785 23468
24597 33567
21452 24798
6318 33810
22917 36777
17583 4437
3764 51150
36656 7228
32743 39430
12407 13649
10046 32951
34703 37728
33307 7902
3024 700
3079 33806
38207 4264
36958 34484
22615 33344
28708 45730
11910 27330
7332 17574
40494 16659
33198 30539
406 1213
3332 26403
10803 25739
27149 24291
22909 48775
41843 22461
4459 6994
41074 35402
12927 35861
39662 31362
12164 13820
14803 7394
1238 10474
4505 29967
7566 16069
26963 20720
10609 38377
29297 36922
26603 46539
37793 41937
23079 3914
8295 19447
2009 9012
22886 47586
21165 11787
36483 35496
37526 21126
29593 14767
16643 10764
8412 18898
19010 18027
34300 42672
25237 15333
22989 49621
33366 5923
30940 47809
11071 10699
1159 486
14614 51651
15973 37901
31600 2540
40105 4203
31874 51097
11715 46777
41951 16813
14887 3447
28008 49074
30066 34960
379 6080
28686 43851
40761 12881
10819 23301
32319 4482
4371 4653
4692 31138
19934 32035
5774 40137
24910 40821
3773 20180
19998 29486
2312 7403
34180 30278
2031 27785
21621 24279
8660 40118
4975 20028
8921 27509
21586 4900
38061 15324
5598 14531
6490 29034
40449 50562
16997 16143
33323 42400
39614 24155
12859 11486
30658 49358
8140 42442
34844 41032
1822 21034
497 14997
23828 34131
11957 40130
28697 28509
17263 11171
34177 20466
7899 42621
14993 27939
2493 1612
4995 1948
35173 48353
37833 40697
5678 32088
1269 41550
12310 37654
35792 22523
19275 21158
10779 2284
36098 33405
37441 16443
23628 1488
21658 8934
16436 45885
16316 34144
15363 711
27905 46245
33991 42996
15939 43749
20046 1337
14108 45771
3917 26801
42228 49131
32496 32825
12047 18643
42924 17930
40486 42743
4836 15462
40403 32933
14878 36530
26360 45429
18150 1851
23034 21933
22482 18553
42493 23656
27579 38534
3063 25414
39638 29020
28127 3839
42308 17992
23653 32098
35311 21130
34642 33091
33974 34788
34094 3657
3575 23623
38846 34212
11682 17687
3051 28828
29102 42596
14181 14437
27458 20572
27496 34218
22738 38030
6481 23990
6498 22786
6516 40404
28289 36247
14600 5700
35837 29449
33927 9701
6154 19163
42277 43113
26582 32180
23972 16410
4610 27139
5118 18960
23614 29654
23479 41852
34487 41927
36896 38323
6646 23339
18605 3458
20484 47717
10514 35110
21097 13720
30564 47941
38553 35310
5042 24712
23899 8187
42068 40469
17383 10194
1084 30673
38843 34209
37944 10363
7753 8987
15309 25750
10680 19538
20371 7062
35412 46960
8745 28200
28192 39787
6401 23259
6041 51022
41840 8030
19234 8808
12692 9242
35644 9955
20684 17238
41020 50996
12622 9402
9552 49477
1173 14174
38879 27460
14618 8779
9028 35947
28936 33258
20809 10444
8866 22364
42548 25997
30338 8155
8859 21457
38165 28406
42202 7054
5865 20430
10057 21064
36597 29175
30674 46497
8196 3843
22565 17410
38360 29673
21144 39781
17172 48449
7594 7609
33267 20110
30786 31572
9448 1749
3245 6047
16234 16714
39711 7972
30891 37455
37038 24514
38670 1149
32260 10163
28261 42820
28193 3399
31813 50221
38789 24667
16717 33273
13004 4329
25316 39216
10504 20217
4986 2998
11678 17670
24379 39688
13823 20654
22823 47768
3426 48785
26850 24991
25070 11627
24148 9634
41838 46020
37610 25222
4216 43478
16689 21954
11250 25738
28812 49775
11573 30868
25298 44810
27299 51511
30517 25218
33284 14802
32010 18065
4107 10306
42247 18139
22349 45588
40771 34610
18223 26055
23180 44821
41658 35858
17663 38514
8144 21296
21440 46464
33887 39235
11781 15637
32400 40157
42763 21941
10146 7242
2345 30956
2785 9074
6009 17955
26533 34839
28671 48361
41737 18087
9872 39843
14685 5510
22988 46870
25880 9995
15183 7260
9056 13887
9998 11553
24806 33934
26521 45302
41098 6429
19534 9045
17717 23547
8154 1760
41842 32323
15801 22565
15322 3002
39240 31813
23142 49443
26860 36700
6882 36069
13607 21519
28144 236
37502 34814
23998 21793
2989 22337
36474 40354
11512 285
2449 10762
8469 30513
785 44816
6479 25142
40932 9712
491 11913
1414 1924
23251 14092
6556 4122
35029 16618
36183 48252
23189 12700
3687 1445
1485 3618
16598 12386
38954 49254
29452 47510
9215 7184
16443 29756
39177 45337
2767 44530
15244 51350
29931 1166
39653 33093
37893 37457
20892 47202
17345 15940
35677 15550
42093 20601
25321 24038
39398 18522
29063 6627
3497 26643
14947 32469
12614 41781
28584 22707
12399 32257
13472 14808
3477 7060
13664 15074
28390 20750
24888 13420
26410 32187
41891 36396
5799 44715
28305 681
35925 26522
33477 23808
23298 33716
22916 29872
28169 24245
25048 47686
3091 1253
15732 38022
34692 31735
9602 7996
14624 19758
33817 43719
12484 10418
41529 30710
39683 49191
11570 10115
39254 16863
23521 26585
37463 16127
2723 2293
12430 11359
6802 11959
7923 26197
36418 50149
33888 2693
5690 9596
26157 13766
10812 32722
26096 26090
8867 15124
11822 31647
42956 50435
13526 6907
12139 34352
28772 10970
9155 20820
26049 25091
31940 4207
13954 17877
1829 2616
4288 34633
24718 1380
13651 16181
29259 7673
10676 8763
7991 5912
21789 36151
11757 23744
28806 23999
13728 48689
29444 12807
28826 28241
31983 47814
11068 42107
31827 50452
26995 40491
15118 10466
22128 7475
36985 42983
38366 23255
2186 1041
35951 10694
5707 16970
36619 15558
27650 33558
8455 21511
485 13361
23374 9330
2691 1578
576 5284
9252 13198
28723 6553
29317 39422
16149 4785
27456 37581
33570 2829
6266 24086
4987 2999
15284 45346
28023 31575
19061 32087
32625 9094
31736 42468
37420 42279
24686 24678
3956 15555
9832 15816
19533 12872
42579 337
16387 10668
15993 2992
26191 14283
3097 8971
3025 10906
1210 14408
9199 1097
8791 23156
5045 28203
42372 28617
2188 6505
3297 11848
1653 32152
33129 11048
14252 788
19572 9890
19218 5894
33282 15976
38644 6979
20360 14852
20065 5018
9223 889
34800 28651
20435 982
939 23441
11701 1561
5931 25487
29946 18415
273 8743
25272 31457
8079 5067
24123 17813
9134 46144
5693 35935
22820 23743
15650 36909
35830 19824
39613 40437
6636 31764
17863 21609
10881 49402
31879 45677
22439 39140
28385 37500
6172 9259
1867 1905
24539 11147
11124 7505
1404 17681
16094 7648
4078 1365
7192 3876
28816 36354
9001 28897
25695 16087
29192 12997
11941 16178
19742 19240
5778 30070
5816 38932
41695 30279
2182 23117
26336 33001
8537 40992
8799 14717
29205 37913
15861 34335
679 16599
33497 609
41543 14132
727 1029
29344 48880
28989 12405
11510 9384
42846 26532
19666 23481
16204 47438
37670 51091
28825 44517
24200 6339
19162 9797
18394 26542
36286 38600
22403 49945
31425 47174
33727 18221
28717 33103
19468 45146
39330 11512
6507 35525
9732 50603
7589 16870
4236 2716
25276 43248
13535 44345
40801 36647
1720 19511
20733 36351
3990 3297
32698 19372
4103 35513
2288 21022
34310 32907
34308 37180
32945 7690
6429 19785
9840 24146
34337 31242
15453 37558
15657 2308
20607 10304
1590 14604
12036 34482
32643 33233
42815 643
8712 29068
14532 17517
38214 38132
11051 999
40596 14375
22409 49948
18361 39888
29129 38743
17944 35403
38634 47957
27502 42018
37873 4836
7520 11330
36101 23727
23485 30675
9390 27446
9100 34591
31603 34392
28949 34739
30386 47713
7273 47460
37678 23135
23130 4947
22527 43939
6832 31628
23812 35751
10754 28215
2209 12261
14007 43387
25898 23650
13075 4347
7614 45686
18720 28581
19509 36522
39549 31403
16811 13996
35464 1853
13190 2728
4666 1247
42902 17985
15990 9122
26223 10221
42992 28284
14026 32606
5184 15962
39037 6021
11332 38754
29369 7794
9808 41288
5684 49663
9652 26956
13667 11815
8245 32519
23947 15379
18046 23816
10440 3299
12786 12567
5695 6594
33847 5341
38475 42357
11595 6059
18063 1014
22509 2036
6611 6675
25340 14417
7004 5725
23116 7402
22275 15924
19605 31501
11223 38014
19551 25025
9489 15394
35396 12577
13272 38399
12441 5673
13837 11176
38314 22680
8595 11661
8882 19413
13444 22712
22748 34609
18860 24165
20870 9478
41911 14312
23965 46473
7816 19120
20167 20310
35426 18242
14928 48388
26778 5142
866 10655
6723 1055
33969 8881
24514 25211
16960 46514
402 2254
21540 14356
35189 42798
18667 43979
28709 31477
10200 6939
40133 14912
21441 51499
11880 47443
41916 18109
32573 41098
36875 29183
30281 11538
29227 14883
329 25039
27524 17368
9951 16017
13386 60
32677 45156
38767 24790
20099 13112
39090 2866
33575 4977
20176 36012
14622 19756
942 11938
2309 5297
30465 44327
26401 48742
26314 27439
32933 6465
15666 26792
34379 47111
84 516
1003 13491
29193 13419
11348 1207
17961 28881
9937 31089
3906 48906
27313 36059
42617 38454
22131 12608
2514 437
622 11511
24991 19088
772 6886
21664 5627
36009 20815
30661 14819
23835 6555
15607 11186
13585 41239
22794 48102
18800 27794
5482 2869
17135 23602
40162 49652
12787 3366
20675 11367
21472 38643
20185 39270
32545 11915
2169 2314
32486 39861
8974 7317
18115 33532
15564 62
23309 29295
22484 26764
39959 32677
26907 18093
14203 9323
38212 10795
12166 14226
15061 28829
3755 2107
21974 35962
38163 15724
9037 9404
25738 30199
42920 9548
747 1252
42915 37758
16355 28667
9981 18155
12296 7990
16371 33357
18067 14931
3439 11771
9536 17287
2728 40333
26956 9364
40369 5519
8567 14346
37886 26805
33610 12973
21702 16155
30462 33058
36926 34733
30579 49667
28407 38128
39920 41356
19299 18392
14284 21097
11117 26343
5451 12910
35511 47667
6232 49654
805 5261
20400 8484
23468 13143
35239 8221
17875 37098
6536 2907
30863 36454
24802 11131
31142 38308
8191 42498
13432 35706
11389 50079
7711 19378
31831 26826
35165 31095
28463 4710
16562 553
12024 49858
7252 5646
6015 19846
38607 29748
41702 23021
14737 23929
10874 18981
33874 46112
35001 37904
19366 24993
38931 34984
10099 37647
3736 37839
5122 4083
970 42791
18364 27435
1771 4613
37769 854
36587 38231
6576 17205
9289 40876
37269 24493
20317 45911
11550 31449
4812 24341
4438 1373
31231 17492
3118 8632
7343 32961
40921 35745
41337 13481
37271 51656
22710 30612
7814 1487
32151 42149
8505 14404
42311 24177
11473 33991
12338 21546
34537 42793
27867 11679
22125 44325
41116 40545
4273 20120
3476 5116
7671 25708
632 6313
16601 3672
12456 1141
29656 11530
34227 48551
5596 11774
6737 7645
821 24058
11170 35356
32893 15214
1378 27624
20111 15912
4747 1549
40079 29595
19703 4423
24380 39689
11177 17315
4092 3611
42863 8798
30047 8844
8355 29721
38014 43237
4916 16204
9017 9356
12223 5052
35681 40436
483 8340
20875 23328
20584 2299
28195 17353
30922 18016
39269 2095
9713 1059
20682 17236
4599 7209
23273 36052
28568 25074
2442 8640
5020 43289
24798 22032
25544 37742
176 18004
31239 7093
10474 22300
6146 51479
6063 19086
27871 801
11651 27694
2222 3584
17930 32095
8578 40828
9480 34703
9200 40140
18259 49396
337 26014
37188 23320
21195 35897
12291 32160
32886 35649
23643 43054
24142 7969
16520 22188
20560 20817
30103 12739
13023 19014
16215 37329
9821 42013
17684 19282
13281 14119
34743 4066
32674 44522
32691 31435
18725 10009
28371 23372
37984 46631
27252 22095
39228 32802
6688 7321
5245 13103
26434 32182
34138 7239
8552 18391
4461 36426
17051 50586
8256 6795
12719 12282
31386 3598
7611 2233
29429 35298
2870 6268
31132 28909
32168 32734
809 10715
16010 10502
26705 32106
30393 9894
13329 13053
40856 44860
4247 30659
6956 19593
24751 40102
11857 6324
7213 15440
36492 5264
23234 9281
10835 13127
35423 2438
20746 27998
1413 11811
35086 32027
3519 6716
41324 34656
25195 6965
27310 2025
18671 27927
2765 10092
8471 9685
11988 4980
18850 1671
9227 11930
7885 37195
10736 15770
7536 14252
32124 41993
14985 1481
7356 37390
5552 38783
5026 1461
37559 7308
14841 1625
6171 3750
29041 13479
27827 23065
25126 5119
30166 12867
14059 21214
39472 26108
12219 21939
23971 5844
6109 32544
33929 26597
4400 43551
3950 25892
32081 24015
4115 4138
26064 1060
25662 33156
42252 14735
35245 28420
3307 51200
15219 35782
41666 14263
35370 27095
1268 41549
32082 3199
10349 37160
10627 36911
12979 12469
33332 10327
30140 23261
39778 27369
33663 24717
14892 16747
3735 37838
11995 43003
25252 5462
34212 44295
36686 6776
13066 10224
16877 17230
23735 19431
18736 35835
7455 1326
8737 23279
24025 22412
4662 12390
29000 41053
14849 27208
26030 16297
17176 15169
23187 17509
27435 8992
40913 25335
21096 18353
19113 43446
28903 43308
3863 12203
24951 35546
17703 29228
33084 29696
10726 17140
5448 12240
40573 4291
4226 20370
34029 23224
4873 9470
5626 7393
813 32704
8454 5159
11183 32282
303 1227
22608 34749
26531 18038
6242 49317
41903 32886
3508 17091
637 8704
37812 10124
36161 16895
17595 50975
